latitude,longitude,frequency,logFreq
42.349,-71.0904,2338,3.368844507
42.35,-71.0879,2338,3.368844507
42.352,-71.0849,2338,3.368844507
42.3495,-71.0879,2338,3.368844507
42.351,-71.0884,2338,3.368844507
42.351,-71.0869,2338,3.368844507
42.35,-71.0884,2338,3.368844507
42.3495,-71.0899,2338,3.368844507
42.3485,-71.0889,2338,3.368844507
42.3505,-71.0879,2338,3.368844507
42.3525,-71.0854,2338,3.368844507
42.3505,-71.0874,2338,3.368844507
42.348,-71.0899,2338,3.368844507
42.348,-71.0909,2338,3.368844507
42.349,-71.0879,2338,3.368844507
42.349,-71.0919,2338,3.368844507
42.3485,-71.0899,2338,3.368844507
42.348,-71.0924,2338,3.368844507
42.3525,-71.0844,2337,3.368658712
42.358,-71.0969,2336,3.368472838
42.35,-71.1159,2335,3.368286885
42.3515,-71.1159,2333,3.367914739
42.358,-71.1009,2331,3.367542274
42.3265,-71.0969,2330,3.367355921
42.353,-71.0844,2323,3.36604921
42.3575,-71.1039,2322,3.365862215
42.358,-71.1014,2320,3.365487985
42.3545,-71.0849,2320,3.365487985
